title,genres,rating,coverImg,bookLink
Lolita,"['Fiction', 'Literature']",3.88,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,https://www.goodreads.com/book/show/7604.Lolita
Harry Potter and the Prisoner of Azkaban,"['Fantasy', 'Fiction']",4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Slaughterhouse-Five,"['Fiction', 'Science Fiction']",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Water for Elephants,"['Fiction', 'Historical Fiction']",4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1722456144i/43641.jpg,https://www.goodreads.com/book/show/43641.Water_for_Elephants
Harry Potter and the Sorcerer’s Stone,"['Fantasy', 'Fiction']",4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155.jpg,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
The Bell Jar,"['Fiction', 'Feminism']",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,"['Fiction', 'Childrens']",4.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg,https://www.goodreads.com/book/show/39988.Matilda
The Stand,"['Horror', 'Fiction']",4.35,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267.jpg,https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,"['Classics', 'Fiction']",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,https://www.goodreads.com/book/show/168668.Catch_22
The Adventures of Sherlock Holmes,"['Mystery', 'Fiction']",4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
The Pillars of the Earth,"['Historical Fiction', 'Fiction']",4.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Rebecca,"['Fiction', 'Mystery']",4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948.jpg,https://www.goodreads.com/book/show/17899948-rebecca
The Fellowship of the Ring,"['Fantasy', 'Classics']",4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
Watership Down,"['Classics', 'Fiction']",4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg,https://www.goodreads.com/book/show/76620.Watership_Down
Great Expectations,"['Classics', 'Fiction']",3.79,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg,https://www.goodreads.com/book/show/2623.Great_Expectations
Outlander,"['Historical Fiction', 'Romance']",4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,https://www.goodreads.com/book/show/10964.Outlander
The Girl with the Dragon Tattoo,"['Fiction', 'Mystery']",4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
The Color Purple,"['Fiction', 'Historical Fiction']",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857.jpg,https://www.goodreads.com/book/show/52892857-the-color-purple
One Flew Over the Cuckoo’s Nest,"['Fiction', 'Classics']",4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
Anna Karenina,"['Fiction', 'Romance']",4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg,https://www.goodreads.com/book/show/15823480-anna-karenina
My Sister’s Keeper,"['Fiction', 'Chick Lit']",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917.jpg,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
The Brothers Karamazov,"['Fiction', 'Russia']",4.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,"['Fiction', 'Historical Fiction']",4.30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,"['Classics', 'Fiction']",4.00,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
And Then There Were None,"['Mystery', 'Fiction']",4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299.jpg,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
The Road,"['Fiction', 'Science Fiction']",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288.jpg,https://www.goodreads.com/book/show/6288.The_Road
To Kill a Mockingbird,"['Classics', 'Fiction']",4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654.jpg,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
The Golden Compass,"['Fantasy', 'Young Adult']",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass
It,"['Horror', 'Fiction']",4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502.jpg,https://www.goodreads.com/book/show/830502.It
The Shining,"['Horror', 'Fiction']",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588.jpg,https://www.goodreads.com/book/show/11588.The_Shining
Vampire Academy,"['Young Adult', 'Fantasy']",4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627.jpg,https://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha,"['Classics', 'Fiction']",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036.jpg,https://www.goodreads.com/book/show/52036.Siddhartha
Angela’s Ashes,"['Nonfiction', 'Memoir']",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577.jpg,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
The Complete Stories and Poems,"['Classics', 'Poetry']",4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919.jpg,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
Interview with the Vampire,"['Horror', 'Fantasy']",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763.jpg,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Don Quixote,"['Classics', 'Fiction']",3.90,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836.jpg,https://www.goodreads.com/book/show/3836.Don_Quixote
The Old Man and the Sea,"['Classics', 'Fiction']",3.80,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165.jpg,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
The Poisonwood Bible,"['Fiction', 'Historical Fiction']",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244.jpg,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
Harry Potter and the Goblet of Fire,"['Fantasy', 'Fiction']",4.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Atlas Shrugged,"['Fiction', 'Classics']",3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662.jpg,https://www.goodreads.com/book/show/662.Atlas_Shrugged
The Notebook,"['Romance', 'Fiction']",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131.jpg,https://www.goodreads.com/book/show/33648131-the-notebook
Winnie-the-Pooh,"['Childrens', 'Fiction']",4.36,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
Fahrenheit 451,"['Fiction', 'Science Fiction']",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351643740i/4381.jpg,https://www.goodreads.com/book/show/4381.Fahrenheit_451
Harry Potter and the Half-Blood Prince,"['Fantasy', 'Fiction']",4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"Moby-Dick or, The Whale","['Classics', 'Fiction']",3.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747.jpg,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale
A Prayer for Owen Meany,"['Fiction', 'Classics']",4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473.jpg,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
Clockwork Angel,"['Fantasy', 'Young Adult']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637.jpg,https://www.goodreads.com/book/show/7171637-clockwork-angel
The Stranger,"['Classics', 'Fiction']",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590930002i/49552.jpg,https://www.goodreads.com/book/show/49552.The_Stranger
Harry Potter and the Chamber of Secrets,"['Fantasy', 'Fiction']",4.43,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Secret Life of Bees,"['Fiction', 'Historical Fiction']",4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435.jpg,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
The Red Tent,"['Historical Fiction', 'Fiction']",4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989.jpg,https://www.goodreads.com/book/show/4989.The_Red_Tent
The Name of the Wind,"['Fantasy', 'Fiction']",4.52,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704917687i/186074.jpg,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Master and Margarita,"['Fiction', 'Russia']",4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833.jpg,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The Metamorphosis,"['Fiction', 'Fantasy']",3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894.jpg,https://www.goodreads.com/book/show/485894.The_Metamorphosis
The Hobbit,"['Fantasy', 'Classics']",4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,https://www.goodreads.com/book/show/5907.The_Hobbit
Eragon,"['Fantasy', 'Young Adult']",3.95,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg,https://www.goodreads.com/book/show/113436.Eragon
Middlesex,"['Fiction', 'Historical Fiction']",4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187.jpg,https://www.goodreads.com/book/show/2187.Middlesex
The Count of Monte Cristo,"['Classics', 'Fiction']",4.30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611834134i/7126.jpg,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Looking for Alaska,"['Young Adult', 'Fiction']",3.97,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561.jpg,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
The Very Hungry Caterpillar,"['Picture Books', 'Childrens']",4.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948.jpg,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
The Adventures of Tom Sawyer,"['Fiction', 'Classics']",3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583.jpg,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
Charlie and the Chocolate Factory,"['Fiction', 'Fantasy']",4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
The Last Olympian,"['Fantasy', 'Young Adult']",4.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519022209i/4556058.jpg,https://www.goodreads.com/book/show/4556058-the-last-olympian
The Curious Incident of the Dog in the Night-Time,"['Fiction', 'Mystery']",3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618.jpg,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
